Account Designator,Posted Date,Serial Number,Description,Amount,CR/DR,Type
E-CHECKING          ,9/22/2015,0,Home Banking Transfer Deposit: From Shar,300,CR,Income
E-CHECKING          ,9/21/2015,0,Check Deposit Check Received 50.00,50,CR,Income
E-CHECKING          ,9/21/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,8.84,DR,Eating Out
E-CHECKING          ,9/21/2015,0,PAYPAL ACH Withdrawal: PAYPAL,25,DR,Credit Cards
E-CHECKING          ,9/21/2015,0,Acorns.com ACH Withdrawal: Acorns.com,6.52,DR,Investment
E-CHECKING          ,9/21/2015,0,IRON HORSE BREW PUB MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,32.03,DR,Eating Out
E-CHECKING          ,9/21/2015,0,HOB NOB ON HIGGINS MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,24.25,DR,Eating Out
E-CHECKING          ,9/20/2015,0,MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.49,DR,Eating Out
E-CHECKING          ,9/20/2015,0,SP *LIGHTHOUSE ESPRESS MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,9.2,DR,Eating Out
E-CHECKING          ,9/19/2015,0,UNIVERSITY OF MONTANA - MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.5,DR,Eating Out
E-CHECKING          ,9/19/2015,0,BEDBATH+BEYOND#1157 MISSOULA MT POS Withdrawal: #041850,28.92,DR,Misc
E-CHECKING          ,9/19/2015,0,AMAZON MKTPLACE PMTS AMZN.COM/BILL WA Debit Card Withdrawal: SIG DEBIT CARD,456.16,DR,Electronics
E-CHECKING          ,9/19/2015,0,STEAMGAMES.COM 425-952-2985 WA Debit Card Withdrawal: SIG DEBIT CARD,59.99,DR,Video Games
E-CHECKING          ,9/18/2015,0,WWW.NEWEGG.COM 800-390-1119 CA Debit Card Withdrawal: SIG DEBIT CARD,209.98,DR,Electronics
E-CHECKING          ,9/18/2015,0,Home Banking Transfer Deposit: From Shar,480,CR,Income
E-CHECKING          ,9/18/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,4.38,DR,Eating Out
E-CHECKING          ,9/18/2015,0,WESTSIDE LANES + FUN C MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,6.7,DR,Eating Out
E-CHECKING          ,9/18/2015,0,Home Banking Transfer Deposit: From Shar,500,CR,Income
E-CHECKING          ,9/17/2015,0,BURGER KING #9036 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,14.73,DR,Eating Out
E-CHECKING          ,9/16/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,9.06,DR,Eating Out
E-CHECKING          ,9/16/2015,0,MCDONALD'S F10297 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,5.2,DR,Eating Out
E-CHECKING          ,9/15/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #005560,8.78,DR,Grocery
E-CHECKING          ,9/15/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #028125,29.01,DR,Grocery
E-CHECKING          ,9/15/2015,0,MONTANA ACE HARDWARE MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,37.14,DR,Misc
E-CHECKING          ,9/15/2015,0,SQ *BIG DIPPER ICE CREA MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,9.75,DR,Eating Out
E-CHECKING          ,9/15/2015,0,TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,9.9,DR,Eating Out
E-CHECKING          ,9/15/2015,0,TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,6.7,DR,Eating Out
E-CHECKING          ,9/15/2015,0,STEAMGAMES.COM 425-952-2985 WA Debit Card Withdrawal: SIG DEBIT CARD,5.99,DR,Video Games
E-CHECKING          ,9/15/2015,0,Acorns.com ACH Withdrawal: Acorns.com,6.16,DR,Investment
E-CHECKING          ,9/14/2015,0,HOAGIEVILLE 3 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,3.5,DR,Eating Out
E-CHECKING          ,9/14/2015,0,STRAIGHTTALK*AIRTIME 877-430-2355 FL Debit Card Withdrawal: SIG DEBIT CARD,46.76,DR,Cell Phone
E-CHECKING          ,9/14/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,2.68,DR,Eating Out
E-CHECKING          ,9/13/2015,0,SOUTH AVE MARKET II MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,4.28,DR,Eating Out
E-CHECKING          ,9/12/2015,0,CRACKER BARREL 2929 EXP MISSOULA MT POS Withdrawal: #025524,26.15,DR,Eating Out
E-CHECKING          ,9/12/2015,0,MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,10.79,DR,Eating Out
E-CHECKING          ,9/12/2015,0,MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,5.96,DR,Eating Out
E-CHECKING          ,9/12/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.28,DR,Eating Out
E-CHECKING          ,9/12/2015,0,MCDONALD'S F10297 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,2,DR,Eating Out
E-CHECKING          ,9/11/2015,0,MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,5.96,DR,Eating Out
E-CHECKING          ,9/11/2015,0,Cash Deposit,280,CR,Income
E-CHECKING          ,9/10/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #028700,0.36,DR,Grocery
E-CHECKING          ,9/10/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.28,DR,Eating Out
E-CHECKING          ,9/10/2015,0,TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.7,DR,Eating Out
E-CHECKING          ,9/9/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #056865,7.97,DR,Grocery
E-CHECKING          ,9/9/2015,0,WENDY'S 15012 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,9.87,DR,Eating Out
E-CHECKING          ,9/9/2015,0,Acorns.com ACH Withdrawal: Acorns.com,7.05,DR,Investment
E-CHECKING          ,9/8/2015,0,REFUNDED FEE Fee Deposit: REFUNDED FEE,27,CR,Income
E-CHECKING          ,9/8/2015,0,"Transfer Deposit From DONEY,CASSIE A XXXXXXXXXX Share",90,CR,Income
E-CHECKING          ,9/6/2015,0,MCDONALD'S F10297 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,2.17,DR,Eating Out
E-CHECKING          ,9/5/2015,0,Fee Withdrawal: PrivilegePay fee,27,DR,Bank Fee
E-CHECKING          ,9/5/2015,0,GEICO *AUTO 800-841-3000 DC Debit Card Withdrawal: SIG DEBIT CARD,98.35,DR,Insurance
E-CHECKING          ,9/5/2015,0,Transfer Deposit: From Share 0000,35.88,CR,Income
E-CHECKING          ,9/4/2015,0,THE NOTORIOUS P.I.G. MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,12.08,DR,Eating Out
E-CHECKING          ,9/4/2015,0,THE NOTORIOUS P.I.G. MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,10.06,DR,Eating Out
E-CHECKING          ,9/3/2015,0,MONTANA BOOK STORE MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,239.1,DR,Books
E-CHECKING          ,9/3/2015,0,DROPBOX*JVQGVPY7GPN4 DB.TT/CCHELP CA Debit Card Withdrawal: SIG DEBIT CARD,89.34,DR,Dropbox
E-CHECKING          ,9/3/2015,0,DROPBOX*V5WWDPWV2H17 DB.TT/CCHELP CA Debit Card Withdrawal: SIG DEBIT CARD,9.99,DR,Dropbox
E-CHECKING          ,9/3/2015,0,TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,17.1,DR,Eating Out
E-CHECKING          ,9/2/2015,0,MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,14.98,DR,Eating Out
E-CHECKING          ,9/2/2015,0,DITECH FINANCIAL ACH Withdrawal: DITECH FINANCIAL,695.41,DR,Mortgage
E-CHECKING          ,9/2/2015,0,NORTHWESTERN ACH Withdrawal: NORTHWESTERN,65.47,DR,Electric
E-CHECKING          ,9/2/2015,0,Acorns.com ACH Withdrawal: Acorns.com,5.08,DR,Investment
E-CHECKING          ,9/1/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #035124,11.96,DR,Grocery
E-CHECKING          ,9/1/2015,0,MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,2.29,DR,Eating Out
E-CHECKING          ,9/1/2015,0,TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.9,DR,Eating Out
E-CHECKING          ,9/1/2015,0,"Transfer Deposit From DONEY,CASSIE A XXXXXXXXXX Share",450,CR,Income
E-CHECKING          ,9/1/2015,0,CENLAR LOAN AMD ACH Withdrawal: CENLAR LOAN AMD,110.27,DR,Mortgage
E-CHECKING          ,9/1/2015,0,CAPITAL ONE N.A. ACH Deposit: CAPITAL ONE N.A.,40,CR,Income
