Account Designator,Posted Date,Serial Number,"Description",Amount,CR/DR
E-CHECKING          ,08/17/15,0000000000,"LOWES #01682* MISSOULA MT ADJ Debit Card Withdrawal: Credit Vouche",000000001.44,CR
E-CHECKING          ,08/16/15,0000000000,"MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #016442",000000041.46,DR
E-CHECKING          ,08/15/15,0000000000,"MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #002028",000000009.35,DR
E-CHECKING          ,08/15/15,0000000000,"LOWE'S #1682 MISSOULA MT POS Withdrawal: #034791",000000015.69,DR
E-CHECKING          ,08/15/15,0000000000,"WENDY'S 15012 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000009.07,DR
E-CHECKING          ,08/15/15,0000000000,"MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000015.88,DR
E-CHECKING          ,08/15/15,0000000000,"PAPA JOHN'S #03945.COM 406-727-1727 MT Debit Card Withdrawal: SIG DEBIT CARD",000000021.28,DR
E-CHECKING          ,08/15/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000007.97,DR
E-CHECKING          ,08/15/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000006.79,DR
E-CHECKING          ,08/14/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000005.97,DR
E-CHECKING          ,08/14/15,0000000000,"SQ *EAT MT BURGERS INC MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000025.59,DR
E-CHECKING          ,08/14/15,0000000000,"Acorns.com ACH Withdrawal: Acorns.com",000000005.66,DR
E-CHECKING          ,08/13/15,0000000000,"WENDY'S 15012 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000009.57,DR
E-CHECKING          ,08/13/15,0000000000,"STRAIGHTTALK*SERVICES 877-430-2355 FL Debit Card Withdrawal: SIG DEBIT CARD",000000046.76,DR
E-CHECKING          ,08/13/15,0000000000,"SAF ACH Withdrawal: SAF",000000105.36,DR
E-CHECKING          ,08/13/15,0000000000,"JAY'S FOOD STORE MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000030.78,DR
E-CHECKING          ,08/13/15,0000000000,"JAY'S FOOD STORE MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000005.18,DR
E-CHECKING          ,08/12/15,0000000000,"MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #013860",000000021.90,DR
E-CHECKING          ,08/12/15,0000000000,"JIMMY JOHNS - 1526 - E 406-5481111 MT Debit Card Withdrawal: SIG DEBIT CARD",000000016.10,DR
E-CHECKING          ,08/12/15,0000000000,"MCDONALD'S F6844 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000009.65,DR
E-CHECKING          ,08/12/15,0000000000,"STATE OF MONTANA ACH Deposit: STATE OF MONTANA",000000424.00,CR
E-CHECKING          ,08/10/15,0000000000,"EXXONMOBIL 48069728 KALISPELL MT Debit Card Withdrawal: SIG DEBIT CARD",000000012.71,DR
E-CHECKING          ,08/10/15,0000000000,"Acorns.com ACH Withdrawal: Acorns.com",000000009.27,DR
E-CHECKING          ,08/09/15,0000000000,"MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000017.96,DR
E-CHECKING          ,08/08/15,0000000000,"CAFE RIO MEXICAN GRILL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000022.36,DR
E-CHECKING          ,08/08/15,0000000000,"RIOTGAM*LOL LN5D4QJ9X3 866-373-9211 CA Debit Card Withdrawal: SIG DEBIT CARD",000000020.00,DR
E-CHECKING          ,08/08/15,0000000000,"RIOTGAM*LOL LN52B6LRZA 866-373-9211 CA Debit Card Withdrawal: SIG DEBIT CARD",000000010.00,DR
E-CHECKING          ,08/08/15,0000000000,"MCDONALD'S F2332 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000007.70,DR
E-CHECKING          ,08/07/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000015.88,DR
E-CHECKING          ,08/06/15,0000000000,"OLES COUNTRY STR #2 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000003.00,DR
E-CHECKING          ,08/05/15,0000000000,"GEICO *AUTO 800-841-3000 DC Debit Card Withdrawal: SIG DEBIT CARD",000000098.35,DR
E-CHECKING          ,08/05/15,0000000000,"MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #019218",000000025.05,DR
E-CHECKING          ,08/05/15,0000000000,"STATE OF MONTANA ACH Deposit: STATE OF MONTANA",000000424.00,CR
E-CHECKING          ,08/04/15,0000000000,"BURGER KING MA30402028 LAS VEGAS NV Debit Card Withdrawal: SIG DEBIT CARD",000000013.71,DR
E-CHECKING          ,08/04/15,0000000000,"CINNABON MAIN 30401004 LAS VEGAS NV Debit Card Withdrawal: SIG DEBIT CARD",000000009.06,DR
E-CHECKING          ,08/04/15,0000000000,"PALACE HOTEL F/D LAS VEGAS NV Debit Card Withdrawal: SIG DEBIT CARD",000000016.79,DR
E-CHECKING          ,08/04/15,0000000000,"MRS FIELDS/TCBY LAS VEGAS NV Debit Card Withdrawal: SIG DEBIT CARD",000000011.43,DR
E-CHECKING          ,08/04/15,0000000000,"Cash Deposit",000000050.00,CR
E-CHECKING          ,08/04/15,0000000000,"Acorns.com ACH Withdrawal: Acorns.com",000000005.02,DR
E-CHECKING          ,08/03/15,0000000000,"IN-N-OUT BURGER #80 LAS VEGAS NV Debit Card Withdrawal: SIG DEBIT CARD",000000013.40,DR
E-CHECKING          ,08/03/15,0000000000,"ALG*ALGT_TRAVEL 702-505-8888 NV Debit Card Withdrawal: SIG DEBIT CARD",000000010.00,DR
E-CHECKING          ,08/03/15,0000000000,"GREEN TREE SER ACH Withdrawal: GREEN TREE SER",000000695.41,DR
E-CHECKING          ,08/03/15,0000000000,"CENLAR LOAN AMD ACH Withdrawal: CENLAR LOAN AMD",000000110.27,DR
E-CHECKING          ,08/03/15,0000000000,"NORTHWESTERN ACH Withdrawal: NORTHWESTERN",000000091.25,DR
E-CHECKING          ,08/03/15,0000000000,"DROPBOX*FMBSSSWGGPBD DB.TT/CCHELP CA Debit Card Withdrawal: SIG DEBIT CARD",000000009.99,DR
E-CHECKING          ,08/02/15,0000000000,"SQ *NORMANDY PERK NORMANDY PARK WA Debit Card Withdrawal: SIG DEBIT CARD",000000010.14,DR
E-CHECKING          ,08/01/15,0000000000,"VISA INTERNATIONAL SERVICE ASSESSMENT Fee Withdrawal: ATM Fee",000000000.65,DR
E-CHECKING          ,08/01/15,0000000000,"VISA TRAVEL Vicwood Center Hong Kong HK ATM Withdrawal: #061787",000000064.51,DR
