Account Designator,Posted Date,Serial Number,Description,Amount,CR/DR,Type
E-CHECKING          ,7/14/2015,0,STRAIGHTTALK*SERVICES 877-430-2355 FL Debit Card Withdrawal: SIG DEBIT CARD,46.76,DR,Cell Phone
E-CHECKING          ,7/14/2015,0,ENTERPRISE RENT-A-CAR MISSOULA MT ADJ Debit Card Withdrawal: Credit Vouche,8.35,CR,Income
E-CHECKING          ,7/14/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,14.88,DR,Eating Out
E-CHECKING          ,7/14/2015,0,MCDONALD'S F10297 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,8.4,DR,Eating Out
E-CHECKING          ,7/13/2015,0,Home Banking Transfer Withdrawal: To Sha,254.74,DR,Misc
E-CHECKING          ,7/13/2015,0,WM SUPERCENTER Wal-Mart Super Center POS Withdrawal: #029521,76.86,DR,Grocery
E-CHECKING          ,7/13/2015,0,GOOGLE *BIGBLUEBUBBLE GOOGLE.COM/CH CA Debit Card Withdrawal: SIG DEBIT CARD,1.99,DR,Video Games
E-CHECKING          ,7/13/2015,0,GOOGLE *BIGBLUEBUBBLE GOOGLE.COM/CH CA Debit Card Withdrawal: SIG DEBIT CARD,9.99,DR,Video Games
E-CHECKING          ,7/13/2015,0,"Check Deposit Check Received 2,340.00",2340,CR,Income
E-CHECKING          ,7/13/2015,0,FEDLOANSERVICING ACH Withdrawal: FEDLOANSERVICING,450,DR,Student Loan
E-CHECKING          ,7/13/2015,0,From Share 0000 ACH Transfer Deposit: From Share 0000,201.13,CR,Misc
E-CHECKING          ,7/13/2015,0,DWOLLA5152801000 ACH Deposit: DWOLLA5152801000,0.08,CR,Misc
E-CHECKING          ,7/13/2015,0,DWOLLA5152801000 ACH Deposit: DWOLLA5152801000,0.03,CR,Misc
E-CHECKING          ,7/12/2015,0,MCDONALD'S F2332 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.65,DR,Eating Out
E-CHECKING          ,7/12/2015,0,OLES COUNTRY STR #2 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,6.38,DR,Eating Out
E-CHECKING          ,7/11/2015,0,MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,16.48,DR,Eating Out
E-CHECKING          ,7/11/2015,0,#02024 ALBERTSONS MISSOULA MT POS Withdrawal: #027067,20.31,DR,Grocery
E-CHECKING          ,7/11/2015,0,AMAZON MKTPLACE PMTS AMZN.COM/BILL WA Debit Card Withdrawal: SIG DEBIT CARD,57.2,DR,Misc
E-CHECKING          ,7/10/2015,0,WENDY'S 15012 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.89,DR,Eating Out
E-CHECKING          ,7/10/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #015430,4.35,DR,Grocery
E-CHECKING          ,7/10/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #010324,10.82,DR,Grocery
E-CHECKING          ,7/10/2015,0,ROMAINES MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,25.25,DR,Eating Out
E-CHECKING          ,7/10/2015,0,GREAT CLIPS #8403 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,15,DR,Misc
E-CHECKING          ,7/10/2015,0,BASKIN #361616 Q35 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.58,DR,Eating Out
E-CHECKING          ,7/9/2015,0,MARKET ON FRONT STREET MISSOULA MT POS Withdrawal: #062255,25.5,DR,Eating Out
E-CHECKING          ,7/9/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #040611,6.37,DR,Grocery
E-CHECKING          ,7/9/2015,0,BURGER KING #7518 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,14.93,DR,Eating Out
E-CHECKING          ,7/8/2015,0,COSTCO WHSE #0067 MISSOULA MT POS Withdrawal: #035137,32.98,DR,Grocery
E-CHECKING          ,7/8/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,10.69,DR,Eating Out
E-CHECKING          ,7/8/2015,0,STATE OF MONTANA ACH Deposit: STATE OF MONTANA,424,CR,Income
E-CHECKING          ,7/8/2015,0,OLES COUNTRY STR #2 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,23.37,DR,Gas
E-CHECKING          ,7/7/2015,0,BRIDGE PIZZA MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,13.75,DR,Eating Out
E-CHECKING          ,7/7/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,8.02,DR,Eating Out
E-CHECKING          ,7/7/2015,0,NOODLE EXPRESS MISSOULA MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,4.49,DR,Eating Out
E-CHECKING          ,7/6/2015,0,OXFORD MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,20,DR,Eating Out
E-CHECKING          ,7/6/2015,0,BREAK ESPRESSO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,9,DR,Eating Out
E-CHECKING          ,7/6/2015,0,SQ *SWEET PEAKS ICE CRE MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,6.5,DR,Eating Out
E-CHECKING          ,7/5/2015,0,BEST BUY 0 2640 NORTH RESERVE MISSOULA POS Withdrawal: #027743,29.99,DR,Misc
E-CHECKING          ,7/5/2015,0,DRAUGHT WORKS MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,9,DR,Eating Out
E-CHECKING          ,7/5/2015,0,GOOGLE *BIGBLUEBUBBLE GOOGLE.COM/CH CA Debit Card Withdrawal: SIG DEBIT CARD,4.99,DR,Video Games
E-CHECKING          ,7/5/2015,0,GEICO *AUTO 800-841-3000 DC Debit Card Withdrawal: SIG DEBIT CARD,98.35,DR,Insurance
E-CHECKING          ,7/5/2015,0,GOOD FOOD STORE 1600 SOUTH 3RD WEST POS Withdrawal: #007361,23.19,DR,Grocery
E-CHECKING          ,7/5/2015,0,DROPBOX*GC5W5BX54ZX5 DB.TT/CCHELP CA Debit Card Withdrawal: SIG DEBIT CARD,9.99,DR,Dropbox
E-CHECKING          ,7/4/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,8.91,DR,Eating Out
E-CHECKING          ,7/3/2015,0,ENTERPRISE RENT-A-CAR MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,50,DR,Rental Car
E-CHECKING          ,7/3/2015,0,IRON HORSE BREW PUB MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,55.02,DR,Eating Out
E-CHECKING          ,7/2/2015,0,TOP HAT LOUNGE MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,12,DR,Eating Out
E-CHECKING          ,7/2/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #015425,16.99,DR,Grocery
E-CHECKING          ,7/2/2015,0,AMAZON MKTPLACE PMTS AMZN.COM/BILL WA Debit Card Withdrawal: SIG DEBIT CARD,9.99,DR,Misc
E-CHECKING          ,7/2/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,5.58,DR,Eating Out
E-CHECKING          ,7/2/2015,0,NORTHWESTERN ACH Withdrawal: NORTHWESTERN,82.02,DR,Electric
E-CHECKING          ,7/2/2015,0,STATE OF MONTANA ACH Deposit: STATE OF MONTANA,424,CR,Income
E-CHECKING          ,7/1/2015,0,AMAZON.COM AMZN.COM/BILL WA Debit Card Withdrawal: SIG DEBIT CARD,138,DR,Misc
E-CHECKING          ,7/1/2015,0,SUBWAY 00100586 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,11.35,DR,Eating Out
E-CHECKING          ,7/1/2015,0,GREEN TREE SER ACH Withdrawal: GREEN TREE SER,695.41,DR,Mortgage
E-CHECKING          ,7/1/2015,0,CENLAR LOAN AMD ACH Withdrawal: CENLAR LOAN AMD,110.27,DR,Mortgage
