Account Designator,Posted Date,Serial Number,Description,Amount,CR/DR,Type
E-CHECKING          ,9/19/2015,0,GOOGLE *SCOPELY INC GOOGLE.COM/CH CA Debit Card Withdrawal: SIG DEBIT CARD,2.99,DR,Video Games
E-CHECKING          ,9/19/2015,0,CENEX ZIP TRIP 1540 TOOLE AVE MISSOULA POS Withdrawal: #042291,8,DR,Eating Out
E-CHECKING          ,9/19/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,14.64,DR,Eating Out
E-CHECKING          ,9/19/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,3.91,DR,Eating Out
E-CHECKING          ,9/19/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,39.67,DR,Gas
E-CHECKING          ,9/19/2015,0,ARBYS 6631 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,8.19,DR,Eating Out
E-CHECKING          ,9/18/2015,0,Msla Vet ACH Deposit: Msla Vet,766.05,CR,Income
E-CHECKING          ,9/9/2015,0,Privilege Pay Fee Withdrawal: Privilege Pay,27,DR,Bank Fee
E-CHECKING          ,9/9/2015,0,Acorns.com ACH Withdrawal: Acorns.com,9.36,DR,Investment
E-CHECKING          ,9/8/2015,0,"Transfer Withdrawal To GEMMER,BLAIR XXXXXXXXXX Share 0015",90,DR,Misc
E-CHECKING          ,9/8/2015,0,CAPITAL ONE ACH Withdrawal: CAPITAL ONE,30,DR,Credit Card
E-CHECKING          ,9/8/2015,0,CAPITAL ONE ACH Withdrawal: CAPITAL ONE,30,DR,Credit Card
E-CHECKING          ,9/8/2015,0,800-228-6790 ACH Withdrawal: 800-228-6790,17.85,DR,Insurance
E-CHECKING          ,9/8/2015,0,Acorns.com ACH Withdrawal: Acorns.com,5.39,DR,Investment
E-CHECKING          ,9/7/2015,0,REDBOX *DVD RENTAL 866-733-2693 IL Debit Card Withdrawal: SIG DEBIT CARD,6,DR,Misc
E-CHECKING          ,9/7/2015,0,WM SUPERCENTER Wal-Mart Super Center POS Withdrawal: #036048,17.15,DR,Misc
E-CHECKING          ,9/7/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,9.43,DR,Eating Out
E-CHECKING          ,9/6/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #000492,7.5,DR,Grocery
E-CHECKING          ,9/6/2015,0,SUBWAY 03252350 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,20.25,DR,Eating Out
E-CHECKING          ,9/6/2015,0,TACO BELL 4804 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,17.24,DR,Eating Out
E-CHECKING          ,9/6/2015,0,STRAIGHTTALK*SERVICES 877-430-2355 FL Debit Card Withdrawal: SIG DEBIT CARD,44.17,DR,Cell Phone
E-CHECKING          ,9/5/2015,0,MISSOULA VETERINARY CLI MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,74.03,DR,Loan
E-CHECKING          ,9/5/2015,0,SQ *BIG DIPPER ICE CREA MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,14.4,DR,Eating Out
E-CHECKING          ,9/5/2015,0,#02024 ALBERTSONS MISSOULA MT POS Withdrawal: #008338,18.75,DR,Grocery
E-CHECKING          ,9/5/2015,0,GOOD FOOD STORE 1600 SOUTH 3RD WEST POS Withdrawal: #050806,50,DR,Misc
E-CHECKING          ,9/5/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,55.68,DR,Gas
E-CHECKING          ,9/4/2015,0,CENEX ZIP TRIP 1540 TOOLE AVE MISSOULA POS Withdrawal: #048278,10.04,DR,Eating Out
E-CHECKING          ,9/4/2015,0,Msla Vet ACH Deposit: Msla Vet,606.52,CR,Income
E-CHECKING          ,9/2/2015,0,MISSOULA VETERINARY CLI MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,35,DR,Misc
E-CHECKING          ,9/2/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,10.01,DR,Eating Out
E-CHECKING          ,9/2/2015,0,Privilege Pay Fee Withdrawal: Privilege Pay,27,DR,Bank Fee
E-CHECKING          ,9/2/2015,0,CREDIT FIRST NA ACH Withdrawal: CREDIT FIRST NA,50,DR,Credit Card
E-CHECKING          ,9/1/2015,0,MISSOULA 2 #340 318 SOUTH ORANGE ST POS Withdrawal: #035610,7.27,DR,Eating Out
E-CHECKING          ,9/1/2015,0,WM SUPERCENTER Wal-Mart Store MISSOULA POS Withdrawal: #029264,3.98,DR,Misc
E-CHECKING          ,9/1/2015,0,"Transfer Withdrawal To GEMMER,BLAIR XXXXXXXXXX Share 0015",450,DR,Misc
E-CHECKING          ,9/1/2015,0,Acorns.com ACH Withdrawal: Acorns.com,5.5,DR,Investment
E-CHECKING          ,9/1/2015,0,CAPITAL ONE N.A. ACH Deposit: CAPITAL ONE N.A.,250,CR,Credit Card
E-CHECKING          ,9/1/2015,0,CAPITAL ONE N.A. ACH Deposit: CAPITAL ONE N.A.,100,CR,Credit Card
